CpGmarker,CoefficientTraining,CoefficientTrainingShrunk,varByCpG,minByCpG,maxByCpG,medianByCpG,medianByCpGYoung,medianByCpGOld,Gene_ID,GenomeBuild,Chr,MapInfo,SourceVersion,TSS_Coordinate,Gene_Strand,Symbol,Synonym,Accession,GID,Annotation,Product,Marginal Age Relationship,chr.coord_hg19,H3K27ac,H3K4me3,H3K36me3,H3K27me3,H3K9ac,H3K4me1,H3K9me3,RNF2,EZH2,RNA,Replication_timing,LaminB1,Gene_body,CGI,Shore,Shelf,ChrHMM_state,ChrHMM_state_reann
cg05921699,0.018064958,NA,0.019,0.0044,0.97,0.82,0.8,0.83,973,36,19,47072565,36.1,47073042,+,CD79A,IGA; MB-1;,NM_001783.2,GI:68348717,###############################################################################################################################################################################################################################################################,CD79A antigen isoform 1 precursor,positive,chr19:42380725,1.33040008428445,-0.895469193284389,-0.631634544419054,-0.61778340136027,-0.562350185122493,2.06867603536994,-0.556413491176248,-0.634607979793846,-0.641326270601752,-0.323097144799632,75.8917999267578,-0.0110997180325408,No,No,No,No,15,Active enhancer
cg05960024,0.081029885,NA,0.021,0.0035,1,0.9,0.89,0.91,9575,36,4,56070777,36.1,56070989,-,CLOCK,KIAA0334;,NM_004898.2,GI:25777594,###############################################################################################################################################################################################################################################################,clock,positive,chr4:56376020,-0.840683244315632,-1.00479057422657,1.1869098387224,-0.736775423293853,-0.742162420720073,-1.02168955901769,-0.539335782572963,-0.489848446884813,0.0539813060843643,-0.275920865682228,52.8784217834473,-1.13970486523222,Yes,No,No,No,17,Weak enhancer
cg06044899,-0.142865007,NA,0.0064,0.073,0.95,0.55,0.56,0.54,7117,36,4,91979252,36.1,91979292,-,TMSL3,,NM_183049.2,GI:72255572,go_component: cytoplasm; go_function: actin binding; go_process: cytoskeleton organization and biogenesis,thymosin-like 3,negative,chr4:91760229,-0.84396351672062,-1.05055412568242,-0.254822331179487,-0.580632940775189,-1.0318211752391,-1.06871494387639,0.480002830684853,-0.972511006148737,-0.577163330089584,3.15373005668766,4.5215277671814,0.749460340738296,Yes,Yes,No,No,25,Quiescent/low
cg06117855,-0.007113851,NA,0.013,0,0.93,0.11,0.15,0.1,7123,36,3,45042792,36.1,45042774,+,CLEC3B,TN; TNA; DKFZp686H17246;,NM_003278.1,GI:4507556,tetranectin (plasminogen-binding protein); tetranectin (plasminogen binding protein); go_component: extracellular space; go_function: sugar binding; go_process: skeletal development,C-type lectin domain family 3; member B,negative,chr3:45067788,-0.790325509688728,-0.848978778321195,0.313985144312516,0.429610776465781,-0.72413243874956,-0.368813925654811,0.0599939066916933,-0.34941158613313,-0.639796329614848,-0.400166480002088,85.4269638061523,3.15293638532048,Yes,No,No,No,17,Weak enhancer
cg06121469,0.027024582,NA,0.0019,0,0.51,0.035,0.032,0.039,80208,36,15,42743390,36.1,42743138,-,KIAA1840,FLJ21439; DKFZp762B1512;,NM_025137.2,GI:33636747,go_function: catalytic activity; go_function: ferric iron binding; go_process: aromatic compound metabolism,hypothetical protein LOC80208,positive,chr15:44956098,0.343711327113688,-0.235404550049374,-0.27211882303974,-0.746481952925575,-0.230954575716137,0.941345564367481,-0.78659217127434,2.05616043528733,-0.477845539944965,0.0327386153426836,63.2759819030762,0.17144217344015,No,No,Yes,No,2,Promoter
cg06144905,0.597211279,0.463910297,0.025,0.0026,0.9,0.22,0.22,0.22,51268,36,17,24393906,36.1,24394044,+,PIPOX,LPIPOX;,NM_016518.2,GI:60499000,go_component: peroxisome; go_function: oxidoreductase activity; go_function: sarcosine oxidase activity; go_function: L-pipecolate oxidase activity; go_process: electron transport; go_process: tetrahydrofolate metabolism,L-pipecolic acid oxidase,positive,chr17:27369780,-0.706237773720062,-0.62474150283067,0.0894036777015934,-0.10407222260195,-0.704690637944381,-0.527134166633492,0.204237480900703,-0.0818598653495372,-0.348935429026729,-0.439261680600165,81.1339950561523,1.89219644356059,Yes,No,No,No,15,Active enhancer
cg06361108,0.43315799,NA,0.00075,0,0.51,0.021,0.012,0.032,899,36,16,2418782,36.1,2419441,+,CCNF,FBX1; FBXO1;,NM_001761.1,GI:4502620,F-box only protein 1; go_component: nucleus; go_process: mitosis; go_process: cell division; go_process: regulation of progression through cell cycle,cyclin F,positive,chr16:2478781,-0.212920958772191,0.478509971366775,-0.0807906958137346,-0.427036592057552,0.539639851458379,1.45420783057109,-0.361706495169022,1.0933344723238,-0.638221647695754,-0.406708200500817,77.5737609863281,1.9166188450244,No,Yes,No,No,2,Promoter
cg06462291,0.015758987,NA,0.0039,0,0.67,0.059,0.056,0.062,51559,36,12,102759609,36.1,102759105,-,NT5DC3,FLJ11266; TU12B1-TY;,NM_001031701.1,GI:72534691,isoform 1 is encoded by transcript variant 1; TU12B1-TY protein,hypothetical protein LOC51559 isoform 1,positive,chr12:104235479,-0.414552795451526,-0.366644902255514,0.51379645930064,-0.297012653714092,0.0789085185075906,0.205762787349419,-0.407494440907942,0.409058874035449,-0.156901915126499,-0.439261680600165,77.8768530676787,3.14244569609087,No,No,Yes,No,2,Promoter
cg06493994,1.858006164,1.677018893,0.0038,0,0.52,0.098,0.058,0.15,10590,36,6,25760581,36.1,25760408,+,SCGN,SEGN; SECRET; setagin; DJ501N12.8;,NM_006998.3,GI:59814903,go_component: cytoplasm; go_function: calcium ion binding; go_process: biological process unknown,secretagogin precursor,positive,chr6:25652602,-0.706232563604443,-0.31998682564387,-0.115378691152961,2.83629920484891,-0.956298515986039,-0.785635892906341,2.30265554393472,0.407730146226736,-0.217024999770042,-0.439261680600165,20.4684753893617,2.96727805293777,Yes,Yes,No,No,24,Repressed polycomb
cg06513075,0.130551876,NA,0.00027,0,0.33,0.044,0.047,0.042,55226,36,11,34083290,36.1,34083725,+,NAT10,ALP; hALP; FLJ10774; FLJ12179; KIAA1709; DKFZp434C116;,NM_024662.1,GI:13399321,###############################################################################################################################################################################################################################################################,N-acetyltransferase-like protein,negative,chr11:34126714,1.40491853834887,-0.149537264769474,-0.378124997438589,-0.684201732681558,0.543285787974014,0.511651808984773,-0.181543510059855,0.123746684751191,-0.22475547406471,-0.123334965630365,64.6342544555664,0.554169515068045,No,No,Yes,No,2,Promoter
cg06557358,-0.141331243,-0.208235948,0.00097,0,0.52,0.044,0.036,0.055,124842,36,17,29931115,36.1,29931881,+,LOC124842,,NM_207313.1,GI:46560554,,hypothetical protein LOC124842,positive,chr17:32907002,-0.837027449390214,-0.292877701216472,-0.251379767670187,2.8950221150388,-0.688003385138951,0.0515490472169932,0.273076949697762,-1.05759956821443,1.96803623082688,-0.439261680600165,36.6407737731934,2.5457692161315,Yes,Yes,No,Yes,23,Bivalent promoter
cg06688848,-0.016307574,NA,0.0036,0,0.96,0.034,0.034,0.034,89970,36,16,55777598,36.1,55777742,+,RSPRY1,KIAA1972;,NM_133368.1,GI:45387948,go_function: protein binding; go_function: zinc ion binding,hypothetical protein LOC89970,negative,chr16:57220097,-0.334606500391872,-0.186502447029053,-0.618735568590973,-0.740482311264921,-0.41239247992949,-0.896614783809425,-0.476750579917167,-0.516250052549559,-0.602758590821035,0.504454840014376,79.4642715454102,-0.864716347278816,Yes,Yes,No,No,1,Active TSS
cg06738602,-0.151674548,NA,0.0052,0.01,0.87,0.1,0.094,0.1,5732,36,14,51850384,36.1,51850863,+,PTGER2,EP2;,NM_000956.2,GI:31881629,###############################################################################################################################################################################################################################################################,prostaglandin E receptor 2 (subtype EP2); 53kDa,positive,chr14:52780634,0.789395547916363,0.178557730082677,-0.102537653670713,0.221111494913038,0.05142592437948,0.365817988867765,-0.126733909267462,1.28596492196832,1.38320719366371,1.02432531330345,80.5722334902186,2.25512057662911,No,No,Yes,No,2,Promoter
cg06810647,0.374888117,0.008460559,0.0082,0,0.72,0.16,0.12,0.19,57585,36,16,1605095,36.1,1604902,+,CRAMP1L,TCE4;,NM_020825.2,GI:62079294,Crm (Cramped Drosophila)-like; T-complex expressed gene 4,Crm; cramped-like,positive,chr16:1665094,-0.585071374078162,-0.594381995082627,0.891013965380611,0.654479211122684,0.611567918445659,1.03476121605471,-0.108073472289471,-0.25356783740804,1.78266868468322,-0.190205395103247,73.8641510009766,0.468649208996098,Yes,Yes,No,No,3,Promoter
cg06836772,-0.238015601,NA,0.0036,0.025,0.83,0.13,0.14,0.13,5563,36,1,56882991,36.1,56883608,+,PRKAA2,AMPK; AMPK2; PRKAA;,NM_006252.2,GI:46877067,###############################################################################################################################################################################################################################################################,AMP-activated protein kinase alpha 2 catalytic subunit,negative,chr1:57110403,-0.711336182322174,-0.720114801027884,0.24001816076227,1.91483165796537,-0.830854528365147,0.186365359416846,-0.531626900746812,-0.389030843348059,1.79617605747725,-0.439261680600165,51.7528672253996,0.696337695686283,Yes,No,Yes,No,2,Promoter
cg06926735,0.001010208,NA,0.00014,0,0.3,0.033,0.034,0.033,7335,36,20,48166074,36.1,48165901,-,UBE2V1,CIR1; UEV1; CROC1; UBE2V; UEV-1; UEV1A; CROC-1;,NM_021988.3,GI:40806163,###############################################################################################################################################################################################################################################################,ubiquitin-conjugating enzyme E2 variant 1 isoform a,negative,chr20:48732667,-0.662158787670376,-0.43050165547909,0.0624242920345761,-0.723016917851861,-0.313540951948426,-0.445705321717396,-0.627305752345948,-0.0375121713180239,-0.622524564414522,-0.439261680600165,85.5158535964471,-1.01389077763714,Yes,No,No,Yes,2,Promoter
cg06952310,0.091760658,NA,0.016,0.05,0.93,0.6,0.57,0.63,1463,36,19,19188990,36.1,19188762,+,CSPG3,NCAN;,NM_004386.1,GI:4758083,go_function: sugar binding; go_function: calcium ion binding; go_function: hyaluronic acid binding; go_process: cell motility; go_process: cell adhesion,chondroitin sulfate proteoglycan 3 (neurocan),positive,chr19:19327990,-0.822973826425795,-0.920451537226788,0.388189566190824,0.332825588090403,-0.765428756390485,-0.851190116946537,0.386350068146892,-0.419939519023581,-0.149919383173754,-0.439261680600165,80.8281478881836,0.11271005632445,Yes,No,No,No,25,Quiescent/low
cg06993413,1.503184415,0.050943591,0.0039,0.0017,0.99,0.07,0.063,0.075,54878,36,15,63597257,36.1,63597095,-,DPP8,MSTP141; FLJ14920; FLJ20283; MGC26191;,NM_197960.1,GI:37577088,isoform 3 is encoded by transcript variant 3; dipeptidyl peptidase VIII; go_component: membrane; go_function: aminopeptidase activity; go_function: dipeptidyl-peptidase IV activity; go_function: serine-type endopeptidase activity; go_process: proteolysis,dipeptidyl peptidase 8 isoform 3,positive,chr15:65810204,-0.391596768799071,-0.263033762729149,-0.395422470072592,-0.563476741776282,-0.422781027944308,0.157400734338221,-0.188375228176815,-0.0489731975309129,-0.00742314397897668,-0.289943095905984,76.6960525512695,1.1656563828514,No,No,Yes,No,2,Promoter
cg07158339,-0.626329239,-0.490713553,0.011,0.03,0.94,0.33,0.37,0.28,2395,36,9,70840057,36.1,70840164,+,FXN,FA; X25; FARR; FRDA; MGC57199;,NM_000144.3,GI:31742514,###############################################################################################################################################################################################################################################################,frataxin isoform 1 preproprotein,negative,chr9:71650237,-0.849763236969572,-0.789377396301545,-0.340520789709587,-0.567720780524366,-0.830467014314567,0.26565324485924,-0.131908962978301,-0.479666370079285,-0.406979715985386,-0.400166480002088,60.5707969665527,2.9796015248641,Yes,No,Yes,No,16,Weak enhancer
cg07285276,0.192242573,NA,0.01,0.047,0.95,0.83,0.84,0.81,2889,36,9,133602836,36.1,133602746,-,RAPGEF1,C3G; GRF2; DKFZp781P1719;,NM_005312.2,GI:38373674,###############################################################################################################################################################################################################################################################,guanine nucleotide-releasing factor 2 isoform a,positive,chr9:134613015,-0.304133808872572,-0.0565564738300943,-0.148531700589585,-0.678222843907098,-0.400736217047838,0.165704155914898,-0.416964783965636,-0.625176762019354,-0.177441764295035,0.744237335571792,72.7847442626953,1.36874475088641,Yes,No,No,No,5,Transcribed
cg07291563,0.041640015,NA,0.00024,0,0.34,0.04,0.035,0.044,83743,36,19,53641253,36.1,53640874,+,GRWD1,GRWD; WDR28;,NM_031485.2,GI:31542861,glutamate rich WD repeat protein GRWD; WD repeat domain 28; go_component: nucleus,glutamate-rich WD repeat containing 1,positive,chr19:48949441,1.0095124108292,1.06820306218724,-0.237492876670882,-0.606728621706249,1.71836133244183,1.31695704650027,0.505272092343739,-0.12252350548613,-0.616727918951027,0.106434200398899,81.1354656837825,2.6386220709653,Yes,Yes,Yes,No,3,Promoter
cg07337598,0.088226928,NA,0.012,0.09,0.91,0.7,0.66,0.72,8416,36,1,149220567,36.1,149221178,+,ANXA9,ANX31;,NM_003568.1,GI:4502102,###############################################################################################################################################################################################################################################################,annexin A9,positive,chr1:150953943,-0.69205521511154,-0.7468277310626,-0.059602402700891,-0.232720584685083,-0.683160616705079,-0.560789199024356,0.326396369605423,-0.631275507949228,-0.293809411124705,-0.419642557742483,83.3469467163086,0.851424443781826,No,No,No,No,15,Active enhancer
cg07388493,-0.520727113,-0.629412185,0.016,0.00073,0.97,0.48,0.56,0.43,4725,36,1,39264046,36.1,39264593,+,NDUFS5,,NM_004552.1,GI:4758789,###############################################################################################################################################################################################################################################################,NADH dehydrogenase (ubiquinone) Fe-S protein 5; 15kDa (NADH-coenzyme Q reductase),negative,chr1:39491459,0.811256969142093,-0.516924743654492,-0.429056843732193,-0.708926435638673,-0.544963696780608,1.29776036544561,0.338653415544041,-0.0203197213921786,-0.602781745815396,-0.429456221072508,78.2092889990295,0.203113737849516,No,No,No,No,3,Promoter
cg07408456,-0.218776385,-0.125230448,0.025,0.027,0.96,0.38,0.47,0.34,114770,36,19,15451532,36.1,15451312,-,PGLYRP2,tagL; PGRPL; PGRP-L; PGLYRPL; HMFT0141; TAGL-like; tagl-beta; tagL-alpha;,NM_052890.2,GI:21361844,###############################################################################################################################################################################################################################################################,peptidoglycan recognition protein L precursor,negative,chr19:15590532,-0.497886288339857,-0.406713601637814,-0.281897514467016,-0.358445439753544,-0.567750782451644,-0.0779938698092621,-0.111567134984005,-0.335314156341825,-0.532457143682069,-0.439261680600165,62.0719346595821,1.71588239696825,Yes,No,No,No,17,Weak enhancer
cg07455279,0.005632264,NA,0.011,0.025,0.95,0.22,0.22,0.23,4696,36,19,59297515,36.1,59297972,+,NDUFA3,B9;,NM_004542.1,GI:4758771,###############################################################################################################################################################################################################################################################,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex; 3; 9kDa,positive,chr19:54605703,0.372726198086643,-0.698874512896565,-0.593595270439437,-0.66079873532905,-0.609072722436272,0.0816079373745321,-0.797314372700441,-0.243498369571878,-0.439550504778987,-0.352743788021822,58.2149696350098,2.89082913746311,Yes,No,Yes,No,2,Promoter
cg07498421,-0.059490426,NA,0.00075,0.0058,0.4,0.11,0.11,0.099,8738,36,12,92595354,36.1,92595282,+,CRADD,RAIDD; MGC9163;,NM_003805.3,GI:51988883,###############################################################################################################################################################################################################################################################,CASP2 and RIPK1 domain containing adaptor with death domain,negative,chr12:94071223,0.560226423279157,0.0971401195280197,-0.526654194569473,-0.743215682648995,0.512317461043387,-0.455758344620428,-0.338782243070446,0.446103048280647,-0.454910472524791,-0.148629717030849,72.8851089477539,0.0577882929172564,Yes,No,Yes,No,1,Active TSS
cg07595943,0.051178068,NA,0.0068,0,1,0.98,0.98,0.99,161931,36,16,82782402,36.1,82782245,+,LOC161931,,NM_139174.2,GI:31543071,go_component: intracellular; go_function: hydrolase activity; go_function: double-stranded RNA binding; go_function: adenosine deaminase activity; go_process: mRNA processing,hypothetical protein LOC161931,positive,chr16:84224901,-0.752538320042004,-0.43149577881041,0.180025843646708,-0.540014686596284,-0.825921071494251,-0.762589215808672,0.0933539296233532,-0.468004165466759,-0.612870142800999,-0.391299675808552,69.7226409912109,0.373321694676161,Yes,Yes,No,No,25,Quiescent/low
cg07663789,-0.074789714,NA,0.0013,0,0.58,0.039,0.037,0.04,4883,36,5,32747186,36.1,32747422,+,NPR3,NPRC; ANPRC;,NM_000908.2,GI:45505140,go_component: membrane; go_component: integral to membrane; go_function: receptor activity; go_function: peptide receptor activity; G-protein coupled; go_process: skeletal development,natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C),negative,chr5:32711429,-0.915691314895569,-0.902501363593499,-0.733156367774264,-0.289375004311354,-0.928636109013121,-0.353688303823659,-0.753689815079998,-0.901013503916999,1.08456296017806,-0.439261680600165,67.2705831361233,1.79148091642322,Yes,Yes,No,No,23,Bivalent promoter
cg07730301,-0.01177889,NA,0.019,0.023,0.89,0.32,0.39,0.3,221,36,11,67534528,36.1,67534366,+,ALDH3B1,ALDH4; ALDH7;,NM_000694.2,GI:71773289,isoform a is encoded by transcript variant 1; aldehyde dehydrogenase 7; go_function: oxidoreductase activity; go_function: aldehyde dehydrogenase [NAD(P)+] activity; go_process: metabolism; go_process: lipid metabolism; go_process: alcohol metabolism,aldehyde dehydrogenase 3B1 isoform a,negative,chr11:67777952,-0.0438405157964766,0.357456759470009,-0.162318626149756,0.171891482396298,0.0460208307674935,0.189540258461768,0.641839522707447,0.247257800714563,-0.289229048030834,-0.18145059487812,71.494384765625,1.59126855843989,Yes,No,No,No,2,Promoter
cg07770222,0.009940405,NA,0.037,0.035,0.96,0.48,0.49,0.47,286122,36,8,144191481,36.1,144192054,+,C8orf31,FLJ37131; MGC90155;,NM_173687.1,GI:27735122,synonyms: FLJ37131; MGC90155,hypothetical protein LOC286122,negative,chr8:144120106,-0.473695364830096,-0.618491994622052,-0.201768151331064,-0.584014721814486,-0.245820605655845,-0.831100490046523,-0.335184796822479,-0.622177683749088,-0.690393912523158,-0.439261680600165,54.0587348937988,1.14037884736166,No,No,No,No,1,Active TSS
cg07849904,-0.116542884,NA,0.00061,0.022,0.47,0.067,0.07,0.067,4330,36,22,26527796,36.1,26527486,-,MN1,MGCR; MGCR1; MGCR1-PEN; dJ353E16.2;,NM_002430.2,GI:55956909,###############################################################################################################################################################################################################################################################,meningioma  1,negative,chr22:28197796,-0.190737615942815,0.296629874016242,-0.515024303232207,-0.083484423922221,0.355248592311214,-0.438475158424601,0.143909392858846,-0.800389791755089,0.681786751108836,-0.23829035118827,70.0258483886719,0.736985748450762,No,Yes,No,No,1,Active TSS
cg08030082,0.012830322,NA,0.019,0.014,0.99,0.48,0.44,0.5,5443,36,2,25245343,36.1,25244956,-,POMC,MSH; POC; ACTH; CLIP;,NM_000939.1,GI:4505948,###############################################################################################################################################################################################################################################################,proopiomelanocortin,positive,chr2:25391839,-0.381400789350791,-0.426432955538729,0.0573071975597514,2.06386719855884,-0.408763433829926,-0.155494077561224,0.0406864390482918,0.0265747651681158,1.92910303843127,-0.429456221072508,67.2316970825195,1.71179352779533,No,Yes,No,No,24,Repressed polycomb
cg08090772,-0.341458098,-0.33190174,0.0029,0,0.96,0.055,0.05,0.074,137872,36,8,67507194,36.1,67507288,+,ADHFE1,ADH8; FLJ32430; HMFT2263; MGC48605;,NM_144650.1,GI:21389518,alcohol dehydrogenase 8; Fe-containing alcohol dehydrogenase 1,alcohol dehydrogenase; iron containing; 1,positive,chr8:67344640,0.56829437319574,0.182934682218412,-0.228995409573428,-0.222835910301203,0.978751012396171,0.476849696752715,0.470974030131725,-1.00960278167192,-0.523699103385882,-0.0361306884175906,85.577857590673,0.871679318491698,Yes,Yes,No,Yes,3,Promoter
cg08124722,0.008484904,NA,0.0094,0.0048,0.98,0.9,0.9,0.9,6354,36,17,29621827,36.1,29621353,+,CCL7,FIC; MARC; MCP3; NC28; MCP-3; SCYA6; SCYA7;,NM_006273.2,GI:13435401,###############################################################################################################################################################################################################################################################,chemokine (C-C motif) ligand 7 precursor,positive,chr17:32597714,-0.738037959784735,-0.911349867511909,-0.403917373413557,0.403483611479673,-0.927669053116993,-0.937993525785745,0.597465546764471,-0.958827309278251,0.0271546282441684,-0.281754773614581,46.625862121582,0.574214447111417,Yes,No,No,No,25,Quiescent/low
cg08186124,-0.070505215,NA,0.00021,0,0.36,0.038,0.041,0.037,54585,36,3,45858680,36.1,45858625,-,LZTFL1,,NM_020347.2,GI:56676319,go_function: Ras GTPase activator activity; go_process: negative regulation of Ras protein signal transduction,leucine zipper transcription factor-like 1,negative,chr3:45883676,-0.502898107818428,-0.138461614971479,-0.363157048045811,-0.481065731154333,-0.115185758031104,0.0664503279995454,0.185774807437152,1.77974493466738,-0.324530411894578,-0.219368311603451,67.8292197705504,1.1980197441668,Yes,Yes,No,No,2,Promoter
cg08251036,0.068634882,NA,0.0051,0.028,0.99,0.91,0.9,0.92,4249,36,2,134725393,36.1,134725638,+,MGAT5,GNT-V;,NM_002410.2,GI:6031185,###############################################################################################################################################################################################################################################################,alpha-1;3(6)-mannosylglycoprotein beta-1;6-N-acetyl-glucosaminyltransferase,positive,chr2:135008923,-0.523105785317008,-0.663976356601938,0.116787049286133,-0.505434841786727,-0.746534628752829,0.235052627360484,-0.524657993380277,-0.618650264457965,-0.559477643735721,-0.334601853550094,54.9811897277832,0.800760155116731,Yes,No,No,No,17,Weak enhancer
cg08331960,-0.42705014,-0.625384236,0.019,0.03,0.92,0.39,0.47,0.33,9351,36,16,2016598,36.1,2016930,+,SLC9A3R2,SIP1; OCTS2; SIP-1; TKA-1; E3KARP; NHERF2; NHE3RF2; NHERF-2; MGC104639;,NM_004785.3,GI:71897228,###############################################################################################################################################################################################################################################################,solute carrier family 9 isoform 3 regulator 2,negative,chr16:2076597,-0.708547049407467,-0.704509365434223,0.468350593864824,0.704568586004564,-0.368215422412494,0.111994604411892,-0.418441928428416,-0.519965734741452,0.917577441422426,-0.439261680600165,85.4624289800401,1.21467171748279,Yes,No,Yes,No,2,Promoter
cg08370996,0.812907628,NA,0.0021,0.0094,0.72,0.082,0.062,0.099,7026,36,15,94675035,36.1,94674950,+,NR2F2,ARP1; SVP40; COUPTFB; TFCOUP2; COUP-TFII;,NM_021005.2,GI:31377723,###############################################################################################################################################################################################################################################################,nuclear receptor subfamily 2; group F; member 2,positive,chr15:96874031,-0.590256092656743,-0.140616386646051,0.185668795038487,1.84312323303804,-0.819241687004049,1.07135032408286,1.16455937062913,1.27626365597188,1.41307619664498,-0.439261680600165,52.4284057617188,2.07198709926054,Yes,Yes,No,No,2,Promoter
cg08413469,0.140510611,NA,0.00031,0,0.61,0.045,0.044,0.044,55635,36,1,68735528,36.1,68735295,-,DEPDC1,DEP.8; SDP35; FLJ20354;,NM_017779.3,GI:41282232,cell cycle control protein SDP35; 5830484J08Rik; go_process: intracellular signaling cascade,DEP domain containing 1,positive,chr1:68962940,-0.0269051963162841,0.915957360221727,-0.02906050281308,0.586842461852928,-0.134632583200779,0.443037702556621,0.0587092555032189,0.559941173662214,-0.408309538193973,-0.439261680600165,68.5481796264648,-0.830223843943262,No,Yes,No,No,1,Active TSS
cg08434234,-0.211774018,NA,0.0012,0,0.64,0.053,0.047,0.061,9162,36,7,137181713,36.1,137182149,-,DGKI,DGK-IOTA;,NM_004717.2,GI:32483395,go_component: nucleus; go_component: cytoplasm; go_function: metal ion binding; go_function: transferase activity; go_function: diacylglycerol kinase activity; go_process: protein kinase C activation; go_process: intracellular signaling cascade,diacylglycerol kinase; iota,positive,chr7:137531173,-0.758272766548532,0.0120075772164896,0.483417295801574,1.79507564949295,-0.4441433826742,0.662217381642685,-0.870980567110918,-0.8374111478851,1.20711344653377,-0.439261680600165,75.5043792724609,1.20804697461426,Yes,Yes,No,No,23,Bivalent promoter
cg08771731,0.103386824,NA,3e-04,0,0.3,0.041,0.041,0.042,10409,36,5,17269434,36.1,17270750,+,BASP1,CAP23; NAP22; CAP-23; NAP-22; MGC8555;,NM_006317.3,GI:30795230,brain acid-soluble protein 1; neuronal tissue-enriched acidic protein; neuronal axonal membrane protein NAP-22; go_component: cytoskeleton; go_component: plasma membrane,brain abundant; membrane attached signal protein 1,positive,chr5:17216434,-0.620076875854854,-0.640212389224428,0.0299046383703327,0.648591555938357,-0.660314035923246,-0.189118610033241,1.34865338370421,-0.385816981032625,-0.106454231693012,-0.390533304595571,84.8590882983886,2.01686064332198,Yes,No,Yes,No,1,Active TSS
cg08965235,-0.220130796,NA,0.009,0.026,0.93,0.17,0.16,0.18,4054,36,11,65081734,36.1,65082006,-,LTBP3,LTBP2; LTBP-3; pp6425; DKFZP586M2123;,NM_021070.2,GI:18497287,latent TGF beta binding protein 3; go_function: calcium ion binding; go_function: growth factor binding,latent transforming growth factor beta binding protein 3,positive,chr11:65325158,0.349237443418372,0.0954793327632419,0.0805015951176235,-0.28900337325586,0.385648742954305,1.08337533645517,-0.0570969009258836,-0.596049361686113,-0.133618588627674,-0.254323603732096,86.4381713867188,-0.672929051390823,Yes,Yes,No,Yes,3,Promoter
cg09019938,-0.12172174,NA,0.00092,0,0.61,0.057,0.046,0.063,5592,36,10,52504504,36.1,52504299,+,PRKG1,PGK; CGKI; PRKG1B; PRKGR1B; MGC71944; cGKI-BETA; cGKI-alpha;,NM_006258.1,GI:10835241,###############################################################################################################################################################################################################################################################,protein kinase; cGMP-dependent; type I,positive,chr10:52834498,-0.797745643845988,-0.176810909326268,-0.143183813393569,1.36322410090774,-0.757891675787013,0.154742425438169,-0.0564551436367078,-1.0869405055938,0.621786705590258,-0.41994170954505,51.2907206280868,1.56073936902606,Yes,Yes,No,No,23,Bivalent promoter
cg09118625,0.307808351,NA,0.017,0.0074,0.97,0.67,0.63,0.71,9077,36,1,68285559,36.1,NA,-,DIRAS3,ARHI; NOEY2;,NT_032977.8,,###############################################################################################################################################################################################################################################################,DIRAS family; GTP-binding RAS-like 3,positive,chr1:68512971,-0.846185470720639,-0.348260514191323,0.526164937198931,0.533715368355691,-0.981318658990445,-0.699752996211925,0.860268958248729,1.07641009198008,-0.567833682061674,-0.439261680600165,74.8990478515625,0.914929829659855,Yes,Yes,No,Yes,23,Bivalent promoter
cg09133026,-0.196543481,NA,0.0042,0.067,1,0.85,0.87,0.82,83694,36,14,74457858,36.1,74458630,-,RPS6KL1,MGC11287;,NM_031464.2,GI:34147400,go_function: ATP binding; go_function: nucleotide binding; go_function: transferase activity; go_function: protein kinase activity; go_function: structural constituent of ribosome; go_process: protein amino acid phosphorylation,ribosomal protein S6 kinase-like 1,negative,chr14:75388105,-0.871135712166041,-0.42715685830698,-0.172780344004936,-0.394675783043774,-0.881724869471677,-0.698768595468609,-0.493924046505754,-0.931174502873528,-0.718067315478671,-0.170262395086499,81.609619140625,0.945528619798365,Yes,No,Yes,No,25,Quiescent/low
cg09191327,-0.278393765,-0.017810648,0.00097,0,0.68,0.049,0.043,0.052,59335,36,9,132529929,36.1,132529802,+,PRDM12,PFM9;,NM_021619.2,GI:15042948,###############################################################################################################################################################################################################################################################,PR domain containing 12,positive,chr9:133540108,-0.875083743528697,-0.305277435298906,1.14069775521092,2.23400548700611,-0.765429919290316,0.802833856410436,0.991525090799797,0.287259605239725,5.14162672686237,-0.40989114295842,73.2606735229492,0.979786658467213,Yes,Yes,No,No,24,Repressed polycomb
cg09418283,0.027502906,NA,0.00032,0,0.31,0.021,0.02,0.023,5074,36,12,78608849,36.1,78608921,-,PAWR,PAR4; Par-4;,NM_002583.2,GI:55769532,###############################################################################################################################################################################################################################################################,PRKC; apoptosis; WT1; regulator,positive,chr12:80084718,-0.648912792353976,0.204476182499345,0.327587224025257,1.51007216212465,-0.319404224636211,-0.136589383308615,0.238920997048299,-1.3537136691272,1.50491255958202,-0.322311024230525,74.5351715087891,1.8408511043796,Yes,Yes,No,No,1,Active TSS
